Date,City,Province,RTLBCI
2020-10-26,White Rock, British Columbia ,145.31
2020-10-26,Vancouver, British Columbia ,133.95
2020-10-26,Victoria, British Columbia ,154.12
2020-11-02,St. John's, Newfoundland ,229.14
2020-11-02,Halifax, Nova Scotia ,130.85
2020-11-02,Moncton, New Brunswick ,169.19
2020-11-02,Quebec, Quebec ,123.7
2020-11-02,Trois-Rivieres, Quebec ,97.61
2020-11-02,Sherbrooke, Quebec ,145.1
2020-11-02,Montreal, Quebec ,128.25
2020-11-02,Ottawa, Ontario ,113.87
2020-11-02,Hamilton, Ontario ,115.72
2020-11-02,Kitchener, Ontario ,132.17
2020-11-02,St. Catharines - Niagara Falls, Ontario ,131.19
2020-11-02,Barrie, Ontario ,82.11
2020-11-02,London, Ontario ,122.56
2020-11-02,Milton, Ontario ,122.66
2020-11-02,Toronto, Ontario ,122.88
2020-11-02,Kingston, Ontario ,125.88
2020-11-02,Kanata, Ontario ,138.83
2020-11-02,Guelph, Ontario ,125.94
2020-11-02,Oshawa, Ontario ,137.52
2020-11-02,Windsor, Ontario ,125.76
2020-11-02,Winnipeg, Manitoba ,130.36
2020-11-02,Saskatoon, Saskatchewan ,116.81
2020-11-02,Regina, Saskatchewan ,185.42
2020-11-02,Calgary, Alberta ,141.81
2020-11-02,Edmonton, Alberta ,144.56
2020-11-02,Abbotsford, British Columbia ,153.4
2020-11-02,Kelowna, British Columbia ,124.9
2020-11-02,White Rock, British Columbia ,115.42
2020-11-02,Vancouver, British Columbia ,136.37
2020-11-02,Victoria, British Columbia ,144.06
2020-11-09,St. John's, Newfoundland ,286.05
2020-11-09,Halifax, Nova Scotia ,145.2
2020-11-09,Moncton, New Brunswick ,234.26
2020-11-09,Quebec, Quebec ,158.12
2020-11-09,Trois-Rivieres, Quebec ,168.86
2020-11-09,Sherbrooke, Quebec ,178.99
2020-11-09,Montreal, Quebec ,137.51
2020-11-09,Ottawa, Ontario ,131.2
2020-11-09,Hamilton, Ontario ,143.94
2020-11-09,Kitchener, Ontario ,152.71
2020-11-09,St. Catharines - Niagara Falls, Ontario ,176.72
2020-11-09,Barrie, Ontario ,117.7
2020-11-09,London, Ontario ,151.88
2020-11-09,Milton, Ontario ,161.8
2020-11-09,Toronto, Ontario ,128.33
2020-11-09,Kingston, Ontario ,175.41
2020-11-09,Kanata, Ontario ,170.8
2020-11-09,Guelph, Ontario ,166.09
2020-11-09,Oshawa, Ontario ,163.23
2020-11-09,Windsor, Ontario ,158.08
2020-11-09,Winnipeg, Manitoba ,137.12
2020-11-09,Saskatoon, Saskatchewan ,140.38
2020-11-09,Regina, Saskatchewan ,220.08
2020-11-09,Calgary, Alberta ,149.16
2020-11-09,Edmonton, Alberta ,159.73
2020-11-09,Abbotsford, British Columbia ,198.1
2020-11-09,Kelowna, British Columbia ,167
2020-11-09,White Rock, British Columbia ,180.12
2020-11-09,Vancouver, British Columbia ,144.18
2020-11-09,Victoria, British Columbia ,179.55
2020-11-16,St. John's, Newfoundland ,322.45
2020-11-16,Halifax, Nova Scotia ,162
2020-11-16,Moncton, New Brunswick ,231.78
2020-11-16,Quebec, Quebec ,151.78
2020-11-16,Trois-Rivieres, Quebec ,204.4
2020-11-16,Sherbrooke, Quebec ,207.29
2020-11-16,Montreal, Quebec ,150.78
2020-11-16,Ottawa, Ontario ,151.38
2020-11-16,Hamilton, Ontario ,156.42
2020-11-16,Kitchener, Ontario ,206.02
2020-11-16,St. Catharines - Niagara Falls, Ontario ,187.08
2020-11-16,Barrie, Ontario ,141.28
2020-11-16,London, Ontario ,145.47
2020-11-16,Milton, Ontario ,178.34
2020-11-16,Toronto, Ontario ,140.56
2020-11-16,Kingston, Ontario ,188.79
2020-11-16,Kanata, Ontario ,184.69
2020-11-16,Guelph, Ontario ,174.53
2020-11-16,Oshawa, Ontario ,177.8
2020-11-16,Windsor, Ontario ,161.19
2020-11-16,Winnipeg, Manitoba ,141.32
2020-11-16,Saskatoon, Saskatchewan ,117.96
2020-11-16,Regina, Saskatchewan ,208.47
2020-11-16,Calgary, Alberta ,148.36
2020-11-16,Edmonton, Alberta ,159.61
2020-11-16,Abbotsford, British Columbia ,202.16
2020-11-16,Kelowna, British Columbia ,177.09
2020-11-16,White Rock, British Columbia ,187.39
2020-11-16,Vancouver, British Columbia ,139.9
2020-11-16,Victoria, British Columbia ,194.3
2020-11-23,St. John's, Newfoundland ,355.76
2020-11-23,Halifax, Nova Scotia ,161.52
2020-11-23,Moncton, New Brunswick ,220.21
2020-11-23,Quebec, Quebec ,155.92
2020-11-23,Trois-Rivieres, Quebec ,203.83
2020-11-23,Sherbrooke, Quebec ,184.75
2020-11-23,Montreal, Quebec ,138.42
2020-11-23,Ottawa, Ontario ,130.63
2020-11-23,Hamilton, Ontario ,144.05
2020-11-23,Kitchener, Ontario ,191.89
2020-11-23,St. Catharines - Niagara Falls, Ontario ,192.11
2020-11-23,Barrie, Ontario ,139.56
2020-11-23,London, Ontario ,142.32
2020-11-23,Milton, Ontario ,170.88
2020-11-23,Toronto, Ontario ,127.69
2020-11-23,Kingston, Ontario ,187.7
2020-11-23,Kanata, Ontario ,185.64
2020-11-23,Guelph, Ontario ,159.94
2020-11-23,Oshawa, Ontario ,172.81
2020-11-23,Windsor, Ontario ,158.9
2020-11-23,Winnipeg, Manitoba ,134.04
