GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Total Population,Total Population of Men,Total Population of Women
Gander,193,"    $20,000 to $29,999",805,360,450
Gander,194,"    $30,000 to $39,999",675,300,375
Gander,195,"    $40,000 to $49,999",620,300,325
Gander,196,"    $50,000 to $59,999",515,275,240
Gander,197,"    $60,000 to $69,999",445,275,165
Gander,198,"    $70,000 to $79,999",405,280,125
Gander,199,"    $80,000 to $89,999",330,185,145
Gander,200,"    $90,000 to $99,999",300,135,165
Gander,201,"    $100,000 and over",835,585,255
Gander,202,"      $100,000 to $124,999",380,225,150
Gander,203,"      $125,000 and over",455,360,100
Gander,262,"  $5,000 to $9,999",45,,
Gander,263,"  $10,000 to $14,999",80,,
Gander,264,"  $15,000 to $19,999",90,,
Gander,265,"  $20,000 to $24,999",250,,
Gander,266,"  $25,000 to $29,999",185,,
Gander,267,"  $30,000 to $34,999",260,,
Gander,268,"  $35,000 to $39,999",305,,
Gander,269,"  $40,000 to $44,999",240,,
Gander,270,"  $45,000 to $49,999",220,,
Gander,271,"  $50,000 to $59,999",410,,
Gander,272,"  $60,000 to $69,999",420,,
Gander,273,"  $70,000 to $79,999",410,,
Gander,274,"  $80,000 to $89,999",350,,
Gander,275,"  $90,000 to $99,999",335,,
Gander,276,"  $100,000 and over",2120,,
Gander,277,"    $100,000 to $124,999",670,,
Gander,278,"    $125,000 to $149,999",465,,
Gander,279,"    $150,000 to $199,999",525,,
Gander,280,"    $200,000 and over",455,,
Gander,283,"  $5,000 to $9,999",45,,
Gander,284,"  $10,000 to $14,999",80,,
Gander,285,"  $15,000 to $19,999",90,,
Gander,286,"  $20,000 to $24,999",270,,
Gander,287,"  $25,000 to $29,999",245,,
Gander,288,"  $30,000 to $34,999",300,,
Gander,289,"  $35,000 to $39,999",330,,
Gander,290,"  $40,000 to $44,999",275,,
Gander,291,"  $45,000 to $49,999",255,,
Gander,292,"  $50,000 to $59,999",540,,
Gander,293,"  $60,000 to $69,999",515,,
Gander,294,"  $70,000 to $79,999",475,,
Gander,295,"  $80,000 to $89,999",410,,
